time_delta,purchase_value,source,browser,sex,age,ip_country,class
82661.0,31,0,0,0,49,0,0
113304.0,31,1,1,1,21,1,0
36689.0,16,0,1,0,26,0,0
2693.0,29,1,0,0,34,2,0
85995.0,26,2,2,0,33,3,0
151198.0,35,1,0,1,30,0,0
97045.0,28,1,3,0,47,4,0
162224.0,21,1,2,1,47,5,0
73394.0,43,0,1,0,40,6,0
128173.0,40,2,3,0,33,7,0
97010.0,69,2,0,0,35,0,0
101949.0,79,1,0,1,27,0,0
0.0,57,0,0,0,32,0,1
16463.0,19,1,1,0,30,8,0
86649.0,74,2,2,1,41,3,0
90733.0,18,0,0,0,19,0,0
42093.0,26,1,1,0,22,8,0
91527.0,40,1,2,0,20,0,0
41420.0,45,1,0,0,33,1,0
165882.0,32,1,3,1,24,4,0
80453.0,31,1,0,0,31,9,0
140535.0,14,2,0,0,46,4,0
5370.0,21,1,3,0,42,0,0
97540.0,43,1,1,0,40,3,0
28328.0,62,1,1,0,36,10,0
17903.0,17,0,2,0,34,0,0
28123.0,47,2,2,0,29,1,0
0.0,56,1,0,0,27,0,1
112150.0,55,2,0,1,63,0,0
3083.0,55,1,0,0,26,11,0
82694.0,68,1,1,0,25,4,0
88736.0,34,2,2,0,32,0,0
81857.0,39,0,2,0,56,0,0
15982.0,60,0,0,1,26,0,0
21927.0,53,1,0,0,26,12,0
138012.0,40,2,1,0,27,13,0
3137.0,34,2,3,1,33,8,1
59786.0,46,1,1,1,44,7,0
171708.0,47,1,3,0,39,14,0
35410.0,53,0,2,0,44,2,0
166568.0,29,2,0,0,33,8,0
110546.0,20,2,0,0,25,0,0
89358.0,14,2,1,0,38,0,0
20785.0,23,1,3,0,21,0,0
98774.0,76,2,1,1,33,15,0
0.0,60,1,0,0,58,16,1
106883.0,20,1,0,1,30,17,0
44181.0,25,2,0,0,51,0,0
148950.0,31,0,1,1,28,0,0
8877.0,16,2,0,1,34,8,0
4217.0,43,1,1,1,42,0,0
172400.0,14,0,0,0,31,18,0
365.0,73,1,3,0,28,4,0
6654.0,12,2,3,0,31,0,0
105564.0,30,2,0,0,35,4,0
102181.0,30,2,0,1,43,0,0
143362.0,42,2,2,1,21,4,0
165499.0,34,1,2,0,19,0,0
55900.0,61,2,3,1,38,4,1
69036.0,19,2,2,1,45,0,0
12865.0,42,2,1,1,21,7,0
16264.0,38,0,4,1,24,19,0
77802.0,37,1,1,1,26,4,0
26241.0,24,1,0,0,29,17,0
149651.0,58,1,0,0,27,0,0
0.0,57,2,3,1,26,20,1
64440.0,81,0,2,1,33,8,0
5051.0,15,1,0,0,39,10,0
0.0,42,2,3,0,29,17,1
81913.0,9,1,0,0,32,8,0
20790.0,77,1,0,1,35,0,0
32829.0,10,0,0,1,22,0,0
56068.0,33,2,1,0,36,21,0
31681.0,31,1,1,0,38,0,0
164828.0,33,2,3,0,28,0,0
119271.0,24,1,3,1,18,0,0
171026.0,9,0,2,1,40,17,0
69657.0,11,1,3,1,26,4,0
0.0,14,0,3,1,34,4,1
112068.0,28,1,2,0,36,12,0
63379.0,20,2,0,1,39,1,0
103206.0,53,1,3,1,34,22,0
71769.0,31,2,0,0,22,20,0
154186.0,36,1,2,0,40,0,1
160238.0,47,2,1,1,44,4,0
102701.0,33,2,0,0,34,0,0
162585.0,19,1,1,0,21,4,0
99874.0,33,2,4,1,48,4,0
58170.0,62,2,0,1,39,23,0
85064.0,41,0,0,0,23,4,0
97122.0,31,2,1,1,23,24,0
132885.0,30,2,0,1,36,8,0
2986.0,42,0,1,0,35,17,0
0.0,16,0,2,0,28,4,1
152277.0,19,0,0,0,45,0,0
43246.0,41,2,3,0,37,0,0
133314.0,35,2,0,0,21,5,0
155752.0,63,1,3,1,31,25,0
142674.0,81,2,1,0,45,4,0
172711.0,9,2,1,1,25,17,0
110889.0,46,2,0,0,39,17,0
124425.0,17,2,2,0,26,0,0
93688.0,28,1,0,0,28,8,0
143114.0,27,1,0,1,39,0,0
51792.0,32,2,3,0,50,8,0
116184.0,17,0,1,0,24,4,0
151768.0,105,2,3,1,34,0,0
90753.0,33,2,0,1,29,0,0
15358.0,27,2,1,0,21,0,0
40660.0,50,2,1,1,22,17,0
0.0,27,0,3,0,42,26,1
49881.0,48,2,2,0,26,4,0
55551.0,14,0,0,1,35,27,0
103380.0,12,2,3,1,35,4,0
96111.0,33,1,2,0,40,4,0
152077.0,48,2,0,0,21,0,0
70218.0,27,2,0,1,46,0,0
91883.0,45,1,3,1,31,4,0
0.0,33,0,0,0,37,0,1
165412.0,50,0,3,0,20,1,0
129020.0,42,0,0,0,36,2,0
0.0,50,1,3,1,24,0,1
47219.0,29,1,1,1,39,0,0
78289.0,18,0,1,0,25,1,0
59068.0,46,1,0,1,40,8,0
86607.0,23,1,2,1,35,0,0
101478.0,20,2,0,0,30,28,0
2872.0,35,1,0,0,27,0,0
0.0,32,0,0,0,36,4,1
170869.0,62,0,0,1,48,0,0
54193.0,49,2,3,0,28,5,0
129964.0,48,2,1,0,24,4,0
156752.0,31,0,0,1,29,3,0
64045.0,22,2,1,1,28,0,0
90986.0,59,0,0,1,45,0,0
32198.0,18,1,0,0,39,4,0
88837.0,59,2,0,0,37,0,0
12290.0,15,1,0,0,18,0,0
0.0,35,2,0,1,35,27,1
13455.0,30,2,3,1,53,0,0
159482.0,32,0,0,0,32,26,0
65748.0,35,2,1,0,33,0,0
